CAGR Report for PETR4
Generated from 61 quarters
Range: 2010-12-31 → 2025-12-31

reference_date   net_income  net_revenue  cagr_earnings_5y  cagr_earnings_5y_final  had_negative_earnings_5y  cagr_revenue_5y  cagr_revenue_5y_final
    2010-12-31  35189366.00 213273669.00               NaN                     NaN                         0              NaN                    NaN
    2011-03-31  46174330.00 268074168.00               NaN                     NaN                         0              NaN                    NaN
    2011-06-30  46132303.00 274742415.00               NaN                     NaN                         0              NaN                    NaN
    2011-09-30  41525285.00 277452689.00               NaN                     NaN                         0              NaN                    NaN
    2011-12-31  33313097.00 244176142.00               NaN                     NaN                         0              NaN                    NaN
    2012-03-31  31542354.00 255509674.00               NaN                     NaN                         0              NaN                    NaN
    2012-06-30  21024433.00 250754666.00               NaN                     NaN                         0              NaN                    NaN
    2012-09-30  32543534.00 253790055.00               NaN                     NaN                         0              NaN                    NaN
    2012-12-31  21182442.00 281379482.00               NaN                     NaN                         0              NaN                    NaN
    2013-03-31  19661398.00 287780798.00               NaN                     NaN                         0              NaN                    NaN
    2013-06-30  28729159.00 286958462.00               NaN                     NaN                         0              NaN                    NaN
    2013-09-30  19010758.00 285286867.00               NaN                     NaN                         0              NaN                    NaN
    2013-12-31  23570367.00 304889934.00               NaN                     NaN                         0              NaN                    NaN
    2014-03-31  21270050.00 313899392.00               NaN                     NaN                         0              NaN                    NaN
    2014-06-30  22328377.00 313561684.00               NaN                     NaN                         0              NaN                    NaN
    2014-09-30  14836695.00 315566616.00               NaN                     NaN                         0              NaN                    NaN
    2014-12-31 -21587000.00 337260000.00               NaN                     NaN                         0              NaN                    NaN
    2015-03-31 -21649860.00 330068195.00               NaN                     NaN                         0              NaN                    NaN
    2015-06-30 -26015000.00 334905000.00               NaN                     NaN                         0              NaN                    NaN
    2015-09-30 -20007000.00 331122000.00               NaN                     NaN                         0              NaN                    NaN
    2015-12-31 -34836000.00 321638000.00               NaN                     NaN                         0             8.56                   8.56
    2016-03-31 -41412000.00 317622000.00               NaN                     NaN                         0             8.56                   8.56
    2016-06-30 -34997000.00 313015000.00               NaN                     NaN                         0             8.56                   8.56
    2016-09-30 -47535000.00 309842000.00               NaN                     NaN                         0             8.56                   8.56
    2016-12-31 -14824000.00 282589000.00               NaN                     NaN                         0             2.97                   2.97
    2017-03-31  -9129000.00 280617000.00               NaN                     NaN                         0             2.97                   2.97
    2017-06-30 -14878000.00 278265000.00               NaN                     NaN                         0             2.97                   2.97
    2017-09-30   1900000.00 283968000.00               NaN                  -43.34                         0             2.97                   2.97
    2017-12-31   -446000.00 283695000.00            -55.23                  -55.23                         0             0.16                   0.16
    2018-03-31   2066000.00 289791000.00            -55.23                  -55.23                         0             0.16                   0.16
    2018-06-30   9310000.00 301094000.00            -55.23                  -55.23                         0             0.16                   0.16
    2018-09-30   5932000.00 310133000.00            -55.23                  -55.23                         0             0.16                   0.16
    2018-12-31  25779000.00 349836000.00              3.02                    3.02                         0             2.79                   2.79
    2019-03-31  22849000.00 355374000.00              3.02                    3.02                         0             2.79                   2.79
    2019-06-30  34573000.00 338008000.00              3.02                    3.02                         0             2.79                   2.79
    2019-09-30  28222000.00 328627000.00              3.02                    3.02                         0             2.79                   2.79
    2019-12-31  40137000.00 302245000.00               NaN                   13.72                         1            -2.17                  -2.17
    2020-03-31 -12417000.00 297715000.00               NaN                     NaN                         1            -2.17                  -2.17
    2020-06-30  18558000.00 280576000.00               NaN                     NaN                         1            -2.17                  -2.17
    2020-09-30  29504000.00 295924000.00               NaN                     NaN                         1            -2.17                  -2.17
    2020-12-31   7108000.00 272069000.00               NaN                     NaN                         1            -3.29                  -3.29
    2021-03-31  56798000.00 282774000.00               NaN                     NaN                         1            -3.29                  -3.29
    2021-06-30  52676000.00 331881000.00               NaN                     NaN                         1            -3.29                  -3.29
    2021-09-30  39796000.00 322933000.00               NaN                     NaN                         1            -3.29                  -3.29
    2021-12-31 106668000.00 452668000.00               NaN                     NaN                         1             9.88                   9.88
    2022-03-31 150062000.00 508135000.00               NaN                     NaN                         1             9.88                   9.88
    2022-06-30 118143000.00 512918000.00               NaN                     NaN                         1             9.88                   9.88
    2022-09-30 121622000.00 501150000.00               NaN                  129.75                         0             9.88                   9.88
    2022-12-31 188328000.00 641256000.00            246.76                  246.76                         1            17.72                  17.72
    2023-03-31 181923000.00 638683000.00            246.76                  246.76                         0            17.72                  17.72
    2023-06-30 162780000.00 584136000.00            246.76                  246.76                         0            17.72                  17.72
    2023-09-30 168857000.00 596008000.00            246.76                  246.76                         0            17.72                  17.72
    2023-12-31 124606000.00 511994000.00             36.21                   36.21                         0             7.91                   7.91
    2024-03-31 110150000.00 490647000.00             36.21                   36.21                         0             7.91                   7.91
    2024-06-30  93219000.00 520412000.00             36.21                   36.21                         0             7.91                   7.91
    2024-09-30 130536000.00 516748000.00             36.21                   36.21                         0             7.91                   7.91
    2024-12-31  36606000.00 490829000.00             -2.01                   -2.01                         0            10.18                  10.18
    2025-03-31  48115000.00 496252000.00             -2.01                   -2.01                         1            10.18                  10.18
    2025-06-30  65863000.00 487699000.00             -2.01                   -2.01                         0            10.18                  10.18
    2025-09-30  36756000.00 489153000.00             -2.01                   -2.01                         0            10.18                  10.18
    2025-12-31 110129000.00 497549000.00             77.68                   77.68                         0            12.83                  12.83
